"filename", "language", "JSON", "JavaScript", "Handlebars", "CSS", "Markdown", "Less", "TypeScript", "SCSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 518, 0, 0, 0, 0, 0, 0, 14, 65, 597
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 524, 0, 0, 0, 0, 0, 0, 6, 64, 594
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 4891, 0, 0, 0, 0, 0, 0, 8, 503, 5402
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 4887, 0, 0, 0, 0, 0, 0, 6, 500, 5393
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap.css", "CSS", 0, 0, 0, 11136, 0, 0, 0, 0, 0, 0, 24, 897, 12057
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 6
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 11138, 0, 0, 0, 0, 0, 0, 6, 886, 12030
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 6
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 5064, 0, 0, 0, 0, 0, 0, 0, 0, 655, 596, 6315
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\js\bootstrap.esm.js", "JavaScript", 0, 3568, 0, 0, 0, 0, 0, 0, 0, 0, 578, 302, 4448
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\js\bootstrap.esm.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\js\bootstrap.js", "JavaScript", 0, 3604, 0, 0, 0, 0, 0, 0, 0, 0, 584, 307, 4495
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\boxicons\css\animations.css", "CSS", 0, 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 32, 386
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\boxicons\css\boxicons.css", "CSS", 0, 0, 0, 5373, 0, 0, 0, 0, 0, 0, 0, 52, 5425
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\boxicons\css\boxicons.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\boxicons\css\transformations.css", "CSS", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\boxicons\fonts\boxicons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1660, 0, 0, 0, 1660
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\chart.js\chart.cjs", "JavaScript", 0, 11384, 0, 0, 0, 0, 0, 0, 0, 0, 70, 61, 11515
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\chart.js\chart.js", "JavaScript", 0, 11337, 0, 0, 0, 0, 0, 0, 0, 0, 70, 60, 11467
